Actions,Name,Status,Cost,Publisher Revenue,Profit,ROI,CPA,EPA
"=""""","=""S1 - PA - Joyas Oro Remate - liquidacion-de-joyas-latam.xyz""","=""RUNNING""","=""7.469999999999998""","=""9.920000000000002""","=""2.4500000000000037""","=""32.79785809906298""","=""0.01817518248175182""","=""0.024136253041362535"""
"=""""","=""S1 - GUI ECUA - Préstamos estatales - prestamos-estatales.xyz""","=""PAUSED""","=""6.680000000000001""","=""0.17""","=""-6.510000000000001""","=""-97.45508982035929""","=""0.334""","=""0.0085"""
"=""""","=""S1 - MEX - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz (Dinamico)""","=""PAUSED""","=""6.04""","=""2.98""","=""-3.06""","=""-50.66225165562914""","=""0.302""","=""0.149"""
"=""""","=""S1 - UY - Tarjeta Empresarial - tarjeta-de-credito-empresarial.xyz (Dinamico)""","=""PAUSED""","=""5.960000000000001""","=""1.8199999999999998""","=""-4.140000000000001""","=""-69.46308724832214""","=""0.45846153846153853""","=""0.13999999999999999"""
"=""""","=""S1 - UY - Tarjetas de Credito -  tarjetas-de-credito-para-jovenes.xyz - (2)""","=""RUNNING""","=""5.950000000000001""","=""6.66""","=""0.7099999999999991""","=""11.93277310924368""","=""0.13522727272727275""","=""0.15136363636363637"""
"=""""","=""S1 - PR - Curso IA Gratis - cursos-de-ia-gratis.xyz""","=""PAUSED""","=""5.92""","=""0.71""","=""-5.21""","=""-88.00675675675676""","=""0.5381818181818182""","=""0.06454545454545454"""
"=""""","=""S1 - PR - Cursos tecnicos online - cursos-tecnicos-online.xyz""","=""PAUSED""","=""5.81""","=""0""","=""-5.81""","=""-100""","=""0""","=""0"""
"=""""","=""S1 - SIE LEO - Prestamos estatales - state-loans-intl.xyz""","=""PAUSED""","=""5.46""","=""0.61""","=""-4.85""","=""-88.82783882783882""","=""0.18827586206896552""","=""0.02103448275862069"""
"=""""","=""S1 - PE - Curso IA Gratis - cursos-de-ia-gratis.xyz""","=""PAUSED""","=""5.21""","=""1.92""","=""-3.29""","=""-63.14779270633397""","=""0.11085106382978724""","=""0.04085106382978723"""
"=""""","=""S1 - CR - Curso IA Gratis - cursos-de-ia-gratis.xyz""","=""PAUSED""","=""5.06""","=""2.13""","=""-2.9299999999999997""","=""-57.905138339920946""","=""0.14055555555555554""","=""0.059166666666666666"""
"=""""","=""S1 - PA - Curso IA Gratis - cursos-de-ia-gratis.xyz""","=""PAUSED""","=""5.02""","=""1.71""","=""-3.3099999999999996""","=""-65.93625498007968""","=""0.11674418604651161""","=""0.039767441860465116"""
"=""""","=""S1 - ARAB SAU - Joyas Oro Remate - clearance-jewelry.xyz""","=""PAUSED""","=""4.91""","=""0.02""","=""-4.890000000000001""","=""-99.59266802443992""","=""4.91""","=""0.02"""
"=""""","=""S1 - EC - Curso IA Gratis - cursos-de-ia-gratis.xyz""","=""PAUSED""","=""4.85""","=""1.2""","=""-3.6499999999999995""","=""-75.25773195876289""","=""0.1276315789473684""","=""0.031578947368421054"""
"=""""","=""S1 - BOTSW - Cursos tecnicos online - online-technical-courses-intl.xyz (Dinamico)""","=""RUNNING""","=""3.65""","=""5.28""","=""1.6300000000000003""","=""44.65753424657535""","=""0.06186440677966101""","=""0.08949152542372882"""
"=""""","=""S1 - TRI & TOB - Cursos tecnicos online - online-technical-courses-intl.xyz (Dinamico)""","=""RUNNING""","=""3.58""","=""1.57""","=""-2.01""","=""-56.145251396648035""","=""0.1988888888888889""","=""0.08722222222222223"""
"=""""","=""S1 - PA - Microcredito Personal - microcredito-personal.xyz""","=""RUNNING""","=""3.48""","=""2.96""","=""-0.52""","=""-14.942528735632186""","=""0.07102040816326531""","=""0.060408163265306125"""
"=""""","=""S1 - NIGE - Cursos tecnicos online - online-technical-courses-intl.xyz (Dinamico)""","=""RUNNING""","=""3.4400000000000004""","=""2.43""","=""-1.0100000000000002""","=""-29.360465116279073""","=""0.19111111111111112""","=""0.135"""
