0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Date,Campaign Domain,Total Sessions,Mobile Sessions,Desktop Sessions,Mobile Sessions %,Distinct IPs,Distinct Mobile IPs,Distinct Desktop IPs,Distinct Mobile IPs %,Searches,Clicks,Estimated Gross Revenue,Revenue Per Session,Revenue Per Search,Revenue Per IP,Revenue Per Click,Clicks Per Session %
2023-09-30,a-prime-ng-uni.fyi,17,5,12,29.41,13,5,8,38.46,0,0,0,0,0,0,0,0
2023-09-30,a-prime-no-credit-cards.fyi,23,8,15,34.78,22,8,14,36.36,0,0,0,0,0,0,0,0
2023-09-30,a-prime-pakistan-real-estate-in-florida.fyi,24,10,14,41.67,19,8,12,42.11,0,0,0,0,0,0,0,0
2023-09-30,a-prime-pe-hipoteca.zone,29,16,13,55.17,24,13,11,54.17,0,0,0,0,0,0,0,0
2023-09-30,a-prime-pe-trabajos.fyi,13,0,13,0,12,0,12,0,0,0,0,0,0,0,0,0
2023-09-30,a-prime-pk-real-estate.fyi,18,4,14,22.22,17,4,13,23.53,0,0,0,0,0,0,0,0
2023-09-30,a-prime-pr-coches-usados.fyi,8,4,4,50,8,4,4,50,0,0,0,0,0,0,0,0
2023-09-30,a-prime-pr-crucero.fyi,43,32,11,74.42,37,26,11,70.27,33,22,2.12,0.05,0.06,0.06,0.1,51.16
2023-09-30,a-prime-prestamos-del-gobierno-guatemala.fyi,380,373,7,98.16,341,334,7,97.95,526,282,9.3,0.02,0.02,0.03,0.03,74.21
2023-09-30,a-prime-psychic-online-us.fyi,48,32,16,66.67,16,3,14,18.75,0,0,0,0,0,0,0,0
2023-09-30,a-prime-pt-cartao-de-credito.zone,14,7,7,50,12,5,7,41.67,0,0,0,0,0,0,0,0
2023-09-30,a-prime-south-africa-social-media.fyi,17,3,14,17.65,16,3,13,18.75,0,0,0,0,0,0,0,0
2023-09-30,a-prime-spain-publicidad-digital.fyi,18,1,17,5.56,12,1,11,8.33,0,0,0,0,0,0,0,0
2023-09-30,a-prime-sv-codificacion.fyi,14,3,11,21.43,14,3,11,21.43,0,0,0,0,0,0,0,0
2023-09-30,a-prime-sv-cursos-online.fyi,25,9,16,36,19,9,12,47.37,0,0,0,0,0,0,0,0
2023-09-30,a-prime-tr-uk-jobs.fyi,20,0,20,0,18,0,18,0,0,0,0,0,0,0,0,0
2023-09-30,a-prime-uk-credit-cards.zone,25,6,19,24,23,4,19,17.39,0,0,0,0,0,0,0,0
2023-09-30,a-prime-uk-grants.zone,14,8,6,57.14,12,6,6,50,0,0,0,0,0,0,0,0
2023-09-30,a-prime-uk-uni.fyi,12,2,10,16.67,10,2,8,20,0,0,0,0,0,0,0,0
2023-09-30,a-prime-united-arab-emirates-investing.fyi,14,1,13,7.14,13,1,12,7.69,0,0,0,0,0,0,0,0
2023-09-30,a-prime-united-kingdom-fertility-clinic.fyi,11,2,9,18.18,11,2,9,18.18,0,0,0,0,0,0,0,0
2023-09-30,a-prime-united-kingdom-real-estate-in-the-usa.fyi,8,0,8,0,7,0,7,0,0,0,0,0,0,0,0,0
2023-09-30,a-prime-united-kingdom-suvs.fyi,7,1,6,14.29,7,1,6,14.29,0,0,0,0,0,0,0,0
2023-09-30,a-prime-universidad-onl-hn.fyi,13,4,9,30.77,11,2,9,18.18,0,0,0,0,0,0,0,0
